What faculties are there?;faculties{name}
What room is the lecture of Networks and Services in?;lessons(where:{name:"Networks and Services", type:"lecture"}){isIn{name}}
Where will the exam of Introduction to Programming be?;courses(where:{name:"Introduction to Programming"}){hasExam{isIn{name}}}
Where will the exam of Introduction to C++ be?;courses(where:{name:"Introduction to C++"}){hasExam{isIn{name}}}
Where will the exam of Software Engineering be?;courses(where:{name:"Software Engineering"}){hasExam{isIn{name}}}
Where will the exam of Software Project Management be?;courses(where:{name:"Software Project Management"}){hasExam{isIn{name}}}
Where will the exam of Management Basics be?;courses(where:{name:"Management Basics"}){hasExam{isIn{name}}}
Where will the exam of Marketing be?;courses(where:{name:"Marketing"}){hasExam{isIn{name}}}
Where will the exam of Materials Science be?;courses(where:{name:"Materials Science"}){hasExam{isIn{name}}}
Where will the exam of Automation and Control Engineering be?;courses(where:{name:"Automation and Control Engineering"}){hasExam{isIn{name}}}
Where will the exam of Mechatronics be?;courses(where:{name:"Mechatronics"}){hasExam{isIn{name}}}
Where will the exam of Networks and Services be?;courses(where:{name:"Networks and Services"}){hasExam{isIn{name}}}
Where will the exam of Computing Theory be?;courses(where:{name:"Computing Theory"}){hasExam{isIn{name}}}
Where will the exam of Physics be?;courses(where:{name:"Physics"}){hasExam{isIn{name}}}
Where will the exam of Chemistry be?;courses(where:{name:"Chemistry"}){hasExam{isIn{name}}}
Where will the exam of Mathematics be?;courses(where:{name:"Mathematics"}){hasExam{isIn{name}}}
In which room will the exam of Electrical Engineering be?;courses(where:{name:"Electrical Engineering"}){hasExam{isIn{name}}}
In which room will the exam of Electronics be?;courses(where:{name:"Electronics"}){hasExam{isIn{name}}}
In which room will the exam of Electrical Power Engineering be?;courses(where:{name:"Electrical Power Engineering"}){hasExam{isIn{name}}}
In which room will the exam of Accounting be?;courses(where:{name:"Accounting"}){hasExam{isIn{name}}}
In which room will the exam of Finance be?;courses(where:{name:"Finance"}){hasExam{isIn{name}}}
In which room will the exam of Sociology be?;courses(where:{name:"Sociology"}){hasExam{isIn{name}}}
In which room will the exam of Fluid Mechanics be?;courses(where:{name:"Fluid Mechanics"}){hasExam{isIn{name}}}
In which room will the exam of Thermodynamics be?;courses(where:{name:"Thermodynamics"}){hasExam{isIn{name}}}
In which room will the exam of Mechanics be?;courses(where:{name:"Mechanics"}){hasExam{isIn{name}}}
In which room will the exam of Introduction to Programming be?;courses(where:{name:"Introduction to Programming"}){hasExam{isIn{name}}}
In which room will the exam of Introduction to C++ be?;courses(where:{name:"Introduction to C++"}){hasExam{isIn{name}}}
In which room will the exam of Software Engineering be?;courses(where:{name:"Software Engineering"}){hasExam{isIn{name}}}
In which room will the exam of Software Project Management be?;courses(where:{name:"Software Project Management"}){hasExam{isIn{name}}}
In which room will the exam of Management Basics be?;courses(where:{name:"Management Basics"}){hasExam{isIn{name}}}
When will the exam of Introduction to Programming be?;courses(where:{name:"Introduction to Programming"}){hasExam{date}}
When will the exam of Introduction to C++ be?;courses(where:{name:"Introduction to C++"}){hasExam{date}}
When will the exam of Software Engineering be?;courses(where:{name:"Software Engineering"}){hasExam{date}}
When will the exam of Software Project Management be?;courses(where:{name:"Software Project Management"}){hasExam{date}}
When will the exam of Management Basics be?;courses(where:{name:"Management Basics"}){hasExam{date}}
When will the exam of Marketing be?;courses(where:{name:"Marketing"}){hasExam{date}}
When will the exam of Materials Science be?;courses(where:{name:"Materials Science"}){hasExam{date}}
When will the exam of Automation and Control Engineering be?;courses(where:{name:"Automation and Control Engineering"}){hasExam{date}}
When will the exam of Mechatronics be?;courses(where:{name:"Mechatronics"}){hasExam{date}}
When will the exam of Networks and Services be?;courses(where:{name:"Networks and Services"}){hasExam{date}}
When will the exam of Computing Theory be?;courses(where:{name:"Computing Theory"}){hasExam{date}}
When will the exam of Physics be?;courses(where:{name:"Physics"}){hasExam{date}}
When will the exam of Chemistry be?;courses(where:{name:"Chemistry"}){hasExam{date}}
When will the exam of Mathematics be?;courses(where:{name:"Mathematics"}){hasExam{date}}
When will the exam of Electrical Engineering be?;courses(where:{name:"Electrical Engineering"}){hasExam{date}}
When will the exam of Electronics be?;courses(where:{name:"Electronics"}){hasExam{date}}
When will the exam of Electrical Power Engineering be?;courses(where:{name:"Electrical Power Engineering"}){hasExam{date}}
When will the exam of Accounting be?;courses(where:{name:"Accounting"}){hasExam{date}}
When will the exam of Finance be?;courses(where:{name:"Finance"}){hasExam{date}}
When will the exam of Sociology be?;courses(where:{name:"Sociology"}){hasExam{date}}
When will the exam of Fluid Mechanics be?;courses(where:{name:"Fluid Mechanics"}){hasExam{date}}
When will the exam of Thermodynamics be?;courses(where:{name:"Thermodynamics"}){hasExam{date}}
What courses are there in the Computer Engineering degree?;degrees(where:{name:"Computer Engineering"}){hasCourse{name}}
What courses are there in the Electrical Engineering degree?;degrees(where:{name:"Electrical Engineering"}){hasCourse{name}}
What courses are there in the Mechanical Engineering degree?;degrees(where:{name:"Mechanical Engineering"}){hasCourse{name}}
What courses are there in the Economics and Management degree?;degrees(where:{name:"Economics and Management"}){hasCourse{name}}
What courses are there in the Mathematics degree?;degrees(where:{name:"Mathematics"}){hasCourse{name}}
What courses are there in the Physics degree?;degrees(where:{name:"Physics"}){hasCourse{name}}
What courses are there in the Chemistry degree?;degrees(where:{name:"Chemistry"}){hasCourse{name}}
What courses are there in the Biotechnology degree?;degrees(where:{name:"Biotechnology"}){hasCourse{name}}
